source_wallet,txn_count,No_Days_Active,initial_funding,Last_txn_out,current_balance,first_transaction_date,last_trasaction_date
0x3d2936b3923d9c890a247fce5e64344b92afb64f,7,2,1.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.9164836364662587,2021-11-15 00:00:00,2022-12-19 00:00:00
0xb48d1394906dc36f632da8e9a012da00330a5354,2,1,4.6,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0351166258395632,2022-12-25 00:00:00,2022-12-25 00:00:00
0xf554988fb4b48b61bddb607ea49c590057b45553,1,1,10.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.2141908712954303,2022-12-24 00:00:00,2022-12-24 00:00:00
0xb2440874b04ba13c5d85d9a9dc89f348b5b4e0d5,2,1,14.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,4.897113024634344,2022-12-19 00:00:00,2022-12-19 00:00:00
0x790ea37af97f3b21bcfdc8d9ea8a1ed3ec05b6ef,2,2,2.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.9948647149213912,2022-06-14 00:00:00,2023-01-01 00:00:00
0xa652cf8250338112b6257bbbc3437ee55a643796,13,2,2487.9,0x5270955d236b0710f5d7a6969c3cc164d06b7369,1.632785988239826,2022-12-28 00:00:00,2022-12-29 00:00:00
0x31a406efbd18897c85a028ca2ad9bbf06febaa2c,4,2,56.9,0x1111111254eeb25477b68fb85ed929f73a960582,6.853981393618632,2022-12-18 00:00:00,2023-01-14 00:00:00
0xee24b841f40e5b2504f44a209cd2eeb64c597355,4,2,6.56532942,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,5.0063018555897365,2022-04-18 00:00:00,2022-12-20 00:00:00
0xa00acb286bf2c21a1360ecc48ad0c961916508d0,1,1,12.3,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.3770466126123568,2023-01-01 00:00:00,2023-01-01 00:00:00
0xb7c996b892d694440add0665d1becf67d36eebeb,2503,49,0.0,0x56a20b765bf7ff0edf67ab2752e3c8703821fe2e,25.92306092267776,2022-11-24 00:00:00,2023-01-25 00:00:00
0x982458536d6b3c00cb6e9dd0a8d0dc9ed0387855,9,3,0.0,0xc30141b657f4216252dc59af2e7cdb9d8792e1b0,3.282379595316834,2022-11-03 00:00:00,2023-01-02 00:00:00
